Runs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity ID,Activity Date,Formatted Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
8694673306,"Mar 11, 2023, 9:08:38 AM",11/03/2023 09:08,Morning Run,Run,,1598,3.48,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8694673306.gpx,,,1598.0,1535.0,3483.7,8.282,2.27,12.9,8.6,477.0,484.8,16.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3528.5,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.18,3259.9,,,,,,,,,,,,,,,,,
8706216942,"Mar 13, 2023, 7:53:40 AM",13/03/2023 07:53,Morning Run,Run,,1248,2.98,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8706216942.gpx,,,1248.0,1239.0,2979.1,4.588,2.404,13.6,6.0,476.8,484.8,21.4,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3026.0,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.387,2764.9,,,,,,,,,,,,,,,,,
8750479026,"Mar 21, 2023, 7:12:17 AM",21/03/2023 07:12,Morning Run,Run,,669,1.63,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8750479026.gpx,,,669.0,659.0,1637.6,4.338,2.485,6.7,4.0,481.5,485.8,6.9,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,1653.9,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.448,1236.5,,,,,,,,,,,,,,,,,
8762211635,"Mar 23, 2023, 6:55:59 AM",23/03/2023 06:55,Morning Run,Run,,948,2.4,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8762211635.gpx,,,948.0,948.0,2403.7,4.83,2.536,5.4,5.9,481.5,484.8,5.8,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2420.3,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.536,2311.2,,,,,,,,,,,,,,,,,
8806791895,"Mar 31, 2023, 7:08:50 AM",31/03/2023 07:08,Morning Run,Run,,1416,3.27,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8806791895.gpx,,,1416.0,1399.0,3275.4,4.2,2.341,10.9,5.9,477.9,484.8,9.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3315.9,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.313,3062.3,,,,,,,,,,,,,,,,,
8823195746,"Apr 3, 2023, 6:26:56 AM",03/04/2023 06:26,Morning Run,Run,,1890,3.63,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8823195746.gpx,,,1890.0,1789.0,3636.9,4.834,2.033,10.4,13.4,477.1,484.8,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3660.6,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,1.924,3219.8,,,,,,,,,,,,,,,,,
8906040275,"Apr 17, 2023, 10:35:45 AM",17/04/2023 10:35,Lunch Run,Run,,1938,3.94,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8906040275.gpx,,,1938.0,1879.0,3945.7,4.276,2.1,21.6,17.3,476.8,489.8,19.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4012.2,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.036,3696.1,,,,,,,,,,,,,,,,,
8917385279,"Apr 19, 2023, 7:47:45 AM",19/04/2023 07:47,Morning Run,Run,,1966,2.99,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/8917385279.gpx,,,1966.0,1744.0,2996.9,4.228,1.718,131.2,105.8,481.6,593.0,48.0,0.8,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3663.5,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,1.524,1745.7,,,,,,,,,,,,,,,,,
9074209207,"May 15, 2023, 8:03:39 AM",15/05/2023 08:03,Morning Run,Run,,1449,3.33,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/9074209207.gpx,,,1449.0,1392.0,3338.3,3.916,2.398,9.4,8.5,479.9,484.8,14.1,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3368.8,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.304,3169.9,,,,,,,,,,,,,,,,,
9085882530,"May 17, 2023, 5:28:07 AM",17/05/2023 05:28,Morning Run,Run,,898,2.12,,,FALSE,,HOKA Clifton 8 Blue Cliftons + 100km,activities/9085882530.gpx,,,898.0,894.0,2124.3,4.108,2.376,6.4,2.9,480.1,484.8,9.2,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,2148.4,,,,,,,,,,,,,,,,19580500.0,,,,,,,,,,0.0,2.366,1973.4,,,,,,,,,,,,,,,,,
